,AUC,ACC,BACC,SP,Recall,F1_score,Precision,MCC
0,0.9109014675052411,0.8477157360406091,0.8004454926624738,0.9027777777777778,0.6981132075471698,0.7115384615384616,0.7254901960784313,0.6083497775788468
1,0.8766862170087977,0.8268156424581006,0.8193548387096774,0.8387096774193549,0.8,0.7394957983193278,0.6875,0.6148324439075629
2,0.9099836333878887,0.8536585365853658,0.8146935806510275,0.905982905982906,0.723404255319149,0.7391304347826086,0.7555555555555555,0.637793372237957
3,0.8636293910108912,0.7670454545454546,0.6883724497622334,0.8861788617886179,0.49056603773584906,0.5591397849462365,0.65,0.4124187694600694
4,0.87633547008547,0.8112244897959183,0.7670940170940171,0.8611111111111112,0.6730769230769231,0.6542056074766355,0.6363636363636364,0.5249116024873212
5,0.9057692307692308,0.8553459119496856,0.8003205128205129,0.9083333333333333,0.6923076923076923,0.7012987012987013,0.7105263157894737,0.6059732255128755
6,0.9107692307692308,0.8388888888888889,0.79,0.9,0.68,0.7010309278350515,0.723404255319149,0.591438950353188
7,0.9241071428571428,0.8352941176470589,0.7960283251231527,0.9196428571428571,0.6724137931034483,0.7358490566037735,0.8125,0.6235707533506564
8,0.8907472763541506,0.8186813186813187,0.7792696025778733,0.8646616541353384,0.6938775510204082,0.6732673267326733,0.6538461538461539,0.5484084971070818
9,0.898970398970399,0.803680981595092,0.8061990561990562,0.8015873015873016,0.8108108108108109,0.6521739130434783,0.5454545454545454,0.5425337443766132
