,AUC,ACC,BACC,SP,Recall,F1_score,Precision,MCC
0,0.883978068839476,0.8153034300791556,0.8064270484313129,0.8367346938775511,0.7761194029850746,0.7482014388489209,0.7222222222222222,0.6036390929335286
1,0.8845861140381689,0.8,0.7963938648870156,0.811965811965812,0.7808219178082192,0.75,0.7215189873417721,0.5850305312782907
2,0.8733062330623306,0.8020833333333334,0.8073524213503005,0.7886178861788617,0.8260869565217391,0.75,0.6867469879518072,0.5953761597236353
3,0.8674755184331797,0.7931034482758621,0.7762816820276498,0.8348214285714286,0.717741935483871,0.712,0.7063492063492064,0.5506240532102773
4,0.9160528021686605,0.8162729658792651,0.8149714184689729,0.8200836820083682,0.8098591549295775,0.7666666666666667,0.7278481012658228,0.6182488107175709
5,0.8821793516560958,0.8205128205128205,0.8051444679351656,0.8527131782945736,0.7575757575757576,0.7407407407407407,0.7246376811594203,0.6039382018027681
6,0.8722913075597144,0.8337730870712401,0.8225652548633342,0.8588709677419355,0.7862595419847328,0.7657992565055762,0.7463768115942029,0.6376186404270491
7,0.8833440778292211,0.8090185676392573,0.8099396354685577,0.8053097345132744,0.8145695364238411,0.7735849056603774,0.7365269461077845,0.6114795310724239
8,0.8729397221568166,0.812987012987013,0.7992995055333176,0.8467741935483871,0.7518248175182481,0.7410071942446043,0.7304964539007093,0.5948639485504249
9,0.8833874107722258,0.804945054945055,0.8082738481505516,0.7956521739130434,0.8208955223880597,0.7560137457044673,0.7006369426751592,0.6004101115690236
