SMILES,1A2,2C9,2C19,2D6,3A4
CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,,1,,,
CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,,1,,,
CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,,1,,1,1
COc1ccc(CC(C)(C)NCC(O)c2cc(O)cc3c2OCC(=O)N3)cc1,,1,,,
OCCOc1ccc(C(=C(CCCl)c2ccccc2)c2ccccc2)cc1,,1,1,,1
N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,,1,,,1
CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F,,1,1,,1
CCCC1CC(=O)N(C(CC)C(N)=O)C1,,1,1,,1
CC(Nc1cc(=O)n(C(C)C)c(=O)[nH]1)c1ccccc1,,1,1,,1
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,,1,1,1,1
COc1ccc(CNc2nc(N3CCCC3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,,1,,,1
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,,1,1,,1
NC1(C(O)=N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,,0,,,
N[C@H](CP(=O)(O)O)C(=O)O,,0,,,
O=Nc1c(O)nc(O)nc1NC[C@H](O)[C@H](O)[C@H](O)CO,,0,,,
CC(=O)O[C@H](C(=O)Nc1cccc2c1C(=O)C(=O)NC2=O)c1ccccc1,,0,,,
CN1CCc2nc(C(=O)N[C@@H]3CCCC[C@@H]3NC(=O)c3cc4cc(Cl)ccc4[nH]3)sc2C1,,0,,,
CCCCCCCC(=O)N[C@H]1CCOC1=O,,0,,,
Cc1cc2c(cc1S(=O)(=O)N1CCN(C)CC1)S(=O)(=O)N[C@@H](C1CCCC1)N2,,0,,,
Cn1cc([C@H]2SC=C(C(=O)O)NC=C2C=O)nn1,,0,,,
COc1ccc(OC(C)(C)C(=O)NC2[C@H]3CC4C[C@@H]2CC(C(N)=O)(C4)C3)cc1,,0,,,
CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,0,,,
O=C(O)[C@@H](c1ccccc1)S(=O)(=O)O,,0,,,
C[C@@H](O)CNc1ncnc2[nH]c(-c3ccccc3)c(-c3ccccc3)c12,,0,,,
O=C(O)C[C@@H](NC(=O)c1cc(-c2ccc(-c3ccncc3)cc2)cs1)c1ccccc1,,0,,,
CSCC[C@@H](NC(=O)CCC(=O)O)C(=O)O,,0,,,
O=C(O)C(=NC(=O)[C@@H](CS)CCc1ccccc1)c1ccc(Cn2cnnn2)s1,,0,,,
CC(C)(C)C(=O)OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCS,,0,,,
O=C(O)CCCC[C@@H](S)CCS,,0,,,
C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)C[C@@H]1OP(=O)(O)O,,0,,,
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)c3nccn3[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,,0,,,0
CSc1nc(NCCC(C)C)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1,,0,,,
O=P(O)(O)OC[C@H]1O[C@H](n2cnc3nc(O)ncc32)[C@H](O)[C@@H]1O,,0,,,
