,AUC,ACC,BACC,SP,Recall,F1_score,Precision,MCC
0,0.91005291005291,0.8599221789883269,0.80119825708061,0.9259259259259259,0.6764705882352942,0.71875,0.7666666666666667,0.6281437895564913
1,0.926984620164673,0.8493723849372385,0.8096162808761846,0.9363057324840764,0.6829268292682927,0.7567567567567568,0.8484848484848485,0.6575299180448025
2,0.9023882952018933,0.8598484848484849,0.8185110808290899,0.9109947643979057,0.726027397260274,0.7412587412587412,0.7571428571428571,0.6454799700543626
3,0.8727918586789554,0.8217391304347826,0.7456797235023042,0.9107142857142857,0.5806451612903226,0.6371681415929203,0.7058823529411765,0.5248536145039471
4,0.9031729055258468,0.8435114503816794,0.7825668449197861,0.9251336898395722,0.64,0.7007299270072993,0.7741935483870968,0.6010239666782424
5,0.892997382198953,0.8493723849372385,0.7731784467713787,0.900523560209424,0.6458333333333334,0.6326530612244898,0.62,0.5381431606457584
6,0.9132476739034117,0.8617886178861789,0.8202038103677448,0.9027027027027027,0.7377049180327869,0.7258064516129032,0.7142857142857143,0.633594579906307
7,0.8869318181818182,0.8143459915611815,0.7782873376623376,0.88125,0.6753246753246753,0.7027027027027027,0.7323943661971831,0.5690436444844337
8,0.9469785575048731,0.8892988929889298,0.8537686809616634,0.9421052631578948,0.7654320987654321,0.8051948051948052,0.8493150684931506,0.7300870794822304
9,0.9028475711892797,0.8560885608856088,0.8222361809045227,0.8944723618090452,0.75,0.7346938775510204,0.72,0.6362655602761464
