SMILES,1A2
CC(=O)Oc1ccc2c(=O)c(-c3ccccc3)c(C)oc2c1,0.0
Nc1nc2c(c(=O)[nH]1)N=C(C(O)C(O)COP(=O)(O)O)CN2,0.0
CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)C1C(O)C[C@]2(C)C3CC=C4C(CC(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,0.0
COc1cc(NC(C)CCCN)c2ncccc2c1,1.0
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,1.0
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,0.0
Cc1cc(O)c(C)c2c1O[C@](C)(CCCC(C)CCCC(C)CCCC(C)C)CC2,0.0
Cn1c(=O)[nH]c(=O)c2[nH]c(=O)[nH]c21,0.0
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,0.0
C=C1C[C@@]23C[C@]1(O)CCC2[C@@]12CC(OC4OC(CO)C(O)C(O)C4O)C(O)[C@@](C)(C(=O)O1)C2C3C(=O)O,0.0
Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCc1ccc(OC(C)(C)C(=O)O)cc1,0.0
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1O,0.0
CC1(C)CC(O)[C@@]2(CO)C(O)C[C@@]3(C)C(=CCC4[C@]5(C)CCC(O)C(C)(C)C5CC[C@@]43C)C2C1,0.0
O=C(O)C1CC(O)C=N1,0.0
COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,1.0
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,1.0
COP(=S)(OC)SCn1nnc2ccccc2c1=O,1.0
CCCCCCCCCCC/C=C/C=O,0.0
C[C@]12CCC3C(C(O)C=C4CC(O)CC[C@@]43C)C1CCC2=O,0.0
CC1C(O)CC[C@@]2(C)CCC(C(C)(C)O)CC12,0.0
CC(C)C(O)=Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1.0
COc1cc([C@@H]2c3cc4c(cc3[C@H](O[C@H]3O[C@H]5CO[C@@H](C)O[C@@H]5[C@@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,1.0
CCN(CC)C(=O)c1cccc(C)c1,1.0
Cc1ncc(CO)c(C=O)c1O,0.0
C[N+](C)([O-])CCCN1c2ccccc2CCc2ccccc21,1.0
CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(C)(C)O2,0.0
CC(CCC(=O)O)C1CCC2C3C=CC4=CC(=O)CC[C@]4(C)C3CC(O)[C@]12C,0.0
N[C@H](CCC(=O)O)C(=O)O,0.0
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,1.0
ClC(Cl)Br,1.0
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,1.0
CCC(=O)OCC1CCCO1,0.0
C[C@]12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O,1.0
COC(=O)c1c(C)nc(C)c(C(=O)OC/C=C/c2ccccc2)c1-c1cccc([N+](=O)[O-])c1,1.0
CC(=O)NC(CS)C(=O)O,0.0
O=C1Nc2ccccc2OC1OC1OC(CO)C(O)C(O)C1O,0.0
COc1cc(CNC(=O)CCCCCC(C)C)ccc1O,0.0
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,1.0
c1ccc([C@H]2CN3CCSC3=N2)cc1,0.0
O=C(CN[C@@H]1CCNC1)N1CCC[C@H]1B(O)O,0.0
CCCCCCCCCCCCCCC(O)C1CCC(C(O)CCCCCCCCCCCCC2=CC(C)OC2=O)O1,0.0
CNCCCC1(c2ccccc2)SC(C)(C)c2ccccc21,0.0
COc1cc(-c2ccc3c(c2)NC(=O)/C3=C\c2ccc[nH]2)ccc1O,0.0
COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1,1.0
CC(=O)OC1CC[C@]2(C)C(CC[C@]3(C)C2CC=C2C4[C@](C)(CCC(C)[C@@]4(C)O)CC[C@]23C)C1(C)C,0.0
CCCCN,0.0
N#CCCN1C(=O)C(O)N=C(c2ccccc2F)c2cc(Cl)ccc21,0.0
CN(C)CCC=C1c2ccccc2CCc2ccccc21,1.0
CC(C)C(C)/C=C/C(C)C1CCC2C3=CC(O)[C@@]4(O)CC(OC5OC(CO)C(O)C(O)C5O)CC[C@]4(C)C3CC[C@]21C,0.0
CC(C)CCC(O)C(C)C1C(OC2OC(CO)C(O)C(O)C2O)CC2C3CC=C4CC(O)CC(OC5OC(C)C(O)C(O)C5O)[C@@]4(C)C3CC[C@@]21C,0.0
Cc1c(-c2ccccc2)ccc2nc(N)nc(N)c12,0.0
C=C(CCC=C(C)C)C1CC=C(C)CC1,0.0
CC1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CCC4[C@]3(C)CC(=O)C3C(C)(C)C(OC(=O)c5ccccc5)CC[C@@]34C)C2C1C,0.0
COc1cc(/C=C\C(=O)NCCCCNC(=N)N)cc2c1OC(c1ccc(OC3OC(CO)C(O)C(O)C3O)cc1)C2C(=O)NCCCCNC(=N)N,0.0
CC(C)CC(NC(=O)C(N)CC(N)=O)C(=O)O,0.0
[F:1][c:23]1[cH:18][cH:14][c:11]([C@@H:7]([N:3]2[CH2:5][CH2:8][N:4]([CH2:10]/[CH:13]=[CH:22]/[c:25]3[cH:26][cH:28][cH:30][cH:29][cH:27]3)[CH2:9][CH2:6]2)[c:12]2[cH:15][cH:19][c:24]([F:2])[cH:21][cH:17]2)[cH:16][cH:20]1,0.0
COC(=O)C1=C(C(=O)OC)[C@@H]2O[C@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,0.0
C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21,0.0
O=C(O)[C@]1(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,0.0
CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,1.0
CC(S)S,0.0
CCCCCCCCCCCCC(O)C1CCC(C(O)CCCCCC(=O)CCCCC2CC(CC(C)=O)C(=O)O2)O1,0.0
CC(CO)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,1.0
O=c1nc[nH]c2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.0
COc1cc2c(cc1O)C1Cc3cc(O)c(O)cc3[N@@+]1(C)CC2,0.0
CN1CCn2c1nc1c(Br)c(Br)c(Br)c(Br)c12,0.0
Nc1nc2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)cc1)CN2,0.0
Cc1cc2c(cc1S(=O)(=O)N1CCN(C)CC1)S(=O)(=O)N[C@@H](C1CCCC1)C2,0.0
NC(=O)NCc1cccc(-c2cccc(-c3cc4cnccc4[nH]3)c2O)c1,0.0
CC(C)CC(=O)Cc1ccccc1,0.0
CC1C2C(CC3C4CC=C5CC(O)CC[C@]5(C)C4CC[C@@]32C)O[C@@]12CC[C@@](O)(CO)CO2,0.0
C/C=C(/C)C(=O)OC1C2=C(C)C(=O)O[C@]2(OC)CC2CCC(OC(=O)/C=C/SC)C(C)[C@]21C,0.0
CCCCC/C=C\C/C=C\CC(O)/C=C\C=C\CCCC(=O)O,0.0
CC1Cc2ccc(/C(O)=N/C(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,0.0
C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CCC2=O,0.0
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CCN,0.0
CC(O)CCOCCC(C)O,0.0
CC1=CCC(C(C)C)C=C1,0.0
CCOc1ccc(Cc2cc([C@]34OC[C@](CO)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1,0.0
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,0.0
Clc1cc(N2C[C@@H]3CN[C@@H]3C2)cnc1Cl,0.0
COc1cc(O)c2c(=O)c3cccc(O)c3n(C)c2c1OC,0.0
Cc1ccc(C(=O)[C@H](C)CN2CCCCC2)cc1,1.0
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,1.0
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,0.0
OCc1ccccc1,1.0
CNC(C)C(O)c1ccccc1,1.0
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,1.0
O=C1NC(=O)C(N2C(=O)c3ccccc3C2=O)CC1O,0.0
N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,0.0
COC[C@]1(O)C2C[C@@]3(C(C)CC[C@]3(O)[C@@]13COC3=O)C(O)C(=O)O2,0.0
C=C(CCC=C(C)C)C1CC[C@@]2(C)C1CCC1[C@]3(C)CCC(O)C(C)(C)C3CC[C@@]12C,0.0
CCC(C)C(N)C(=O)NC(CCCNC(=N)N)C(=O)O,0.0
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,1.0
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,1.0
O=[N+]([O-])c1cc2cccc3ccc4cccc1c4c32,1.0
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(C)=O,0.0
COc1cc(O)cc(CCc2cccc(O)c2)c1,0.0
CNC(=O)Oc1cccc2c1OC(C)(C)C2,1.0
O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,1.0
CCCCCCCC(=O)OCCCC1C(=C(C)C)CCC2[C@@]1(C)CC[C@@]1(C)C(C(C)CCC=C(C)C)CC[C@]21C,0.0
CN(C)C(=O)CCn1nc(Nc2ccc3c(c2)OC(F)(F)O3)nc1-c1ccncc1,0.0
Nc1nc(N)nc(OCCOc2ccccc2)n1,0.0
CN(C)C[C@@H](O)COc1ccc(Nc2cc(Nc3cc(C(F)(F)F)ccc3F)ncn2)cc1,0.0
CCCCC(=O)OC1CCCCC1,0.0
O=c1cc(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,0.0
Cc1cc2nc3[nH]c(=O)[nH]c(=O)c3nc2cc1C,0.0
C[C@@]1(c2ccc(Oc3ccccc3)cc2)OC(=O)N(Nc2ccccc2)C1=O,0.0
C/C=C/C=C/C=C/CC/C=C/C=C/C(=O)NCC(C)C,0.0
O=[N+]([O-])c1cc2c3ccccc3ccc2c2ccccc12,1.0
N[C@@H]1N[C@H]2CC[C@H](CN3CC[C@H]4CCCC[C@@H]43)C[C@H]2[C@H](N)N1,0.0
CCCCOCCOC(=O)c1cccnc1,0.0
C=CCCCCCCCCC/C=C\c1ccco1,0.0
CC(C)CC(N)C(=O)NC(CCC(=O)O)C(=O)O,0.0
CC1(C)C2CC[C@]1(C)C(O)C2,0.0
C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CCC2C(=O)CO,0.0
O=C(O)C(CO)OP(=O)(O)O,0.0
CN1CC[C@]23c4c5ccc(OCCN6CCOCC6)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,0.0
CCCCC(=O)OCCc1ccccc1,0.0
C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,1.0
CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,1.0
O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0.0
O=C(NC(O)C(=O)O)c1ccccc1,0.0
CCC1(c2ccccc2)N=C(O)N(C)C1=O,1.0
CCCCCCCCCCCCCCCCCCCCCC(=O)CC(O)CCC,0.0
O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,0.0
C/C=C/C=O,0.0
CC(=O)NC1C(OP(=O)(O)O)OC(CO)C(O)C1O,0.0
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,1.0
CCCCCCCCCOC(C)=O,0.0
CCOC(=O)CCC(C)C,0.0
CC(=O)C1CCC2C3CCC4CC(=O)CC[C@]4(C)C3CC[C@]12C,0.0
Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(O)=NOCCO)cc21,1.0
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,1.0
CC1C(=O)OC2C1CC[C@]1(C)CCC(=O)C(C)C21,0.0
COc1cc2c(cc1OC)C(=O)C(CC1CCNCC1)C2,0.0
CC1(C)C(O)CC[C@@]2(C)C1CC[C@]1(C)C2C(=O)C=C2C3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C,0.0
O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,1.0
CC(C)CC(N)C(=O)NCC(=O)O,0.0
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3C1CCC2=O,1.0
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,1.0
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,1.0
CCOc1ccc2c(Cl)cc(=O)oc2c1,1.0
Oc1nc2cc(Cl)ccc2o1,1.0
N=c1nc(O)c2[nH]ccc2[nH]1,1.0
CCc1nc(N)nc(N)c1-c1ccc2c3ccccc3n(CCCOC)c2c1,0.0
O=P(O)(O)C(O)(COc1cccc(-c2cccc(-c3ccccc3)c2)c1)P(=O)(O)O,0.0
CC(C)CCCC(C)C1CCC2C3C(O)C[C@]4(C(=O)O)CC(O)CC[C@]4(C)C3CC(O)[C@]12C,0.0
CC1(C)C=C2c3cc4[nH]c5c(c4cc3C(O)C2C(C)(C)O1)CC1CC[C@@]2(O)C3=CC(O)C(C(C)(C)O)OC3CC[C@]2(C)[C@@]51C,0.0
COC1C=CC2=CCN3CCc4cc5c(cc4[C@@]23C1)OCO5,0.0
COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C,1.0
NC(Cc1cnc[nH]1)C(=O)NCC(=O)O,0.0
Cc1cccc(C)c1OC[C@@H](C)N,1.0
O=C1CCCN1,0.0
NC(Cc1cn(C2OC(CO)C(O)C2O)cn1)C(=O)O,0.0
NCCc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1,0.0
CC(C)NC[C@@H](O)COc1cccc2ccccc12,1.0
Nc1ccc2c3c(cccc13)C(=O)NC2=O,0.0
CC1CC[C@@]2(OC1)OC1CC3C4CCC5CC(=O)CC[C@@]5(C)C4CC[C@@]3(C)C1C2C,0.0
CC[N+](C)(CC)CCc1c(C)c2ccc(OC)cc2oc1=O,1.0
Cc1ccc(=O)n(-c2ccccc2)c1,1.0
CCCCCCCCCCCC/C=C/C(O)C(COP(=O)(O)OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCCCCCCCCCCCC,0.0
CCCS(=O)(=O)N[C@@H](C(=O)N[C@@H](CCSC)C(=O)NCc1ccc(C(=N)N)cc1)[C@H](C)O,0.0
CN1CC(O)c2cc(O)c(O)cc21,0.0
CCOC(=O)C(CCN1CCOCC1)(c1ccccc1)c1ccccc1,0.0
CCC1=C(C)C(CC2=N/C(=C\c3[nH]c(CC4NC(=O)C(C)=C4CC)c(C)c3CCC(=O)O)C(CCC(=O)O)=C2C)NC1=O,0.0
CC(=O)Nc1ccccc1,1.0
CC(C)=CCc1c(-c2ccc(O)cc2O)oc2c(C3C=C(C)CC(c4ccc(O)cc4O)C3C(=O)c3ccc(O)cc3O)c(O)cc(O)c2c1=O,0.0
O=C(O)C(c1ccccc1)C1CCCCN1,0.0
CC(C)(C)C(O)/C=C/c1ccc2c(c1)OCO2,1.0
Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccco2)n1C,1.0
CC1CC[C@]2(OC1)OC1CC3C4C(CC[C@]3(C)C1C2C)[C@]1(C)CCC(O)C[C@@]1(O)C4C=O,0.0
C=C1C(=O)OC2C[C@@]3(C)C(=CC12)C(C)CCC3O,0.0
CCCCCC(=O)N[C@@H](CCS)C(=O)O,0.0
CC(C)Cn1cnc2c(N)nc3ccccc3c21,1.0
C[C@]12CC(OC3OC(C(=O)O)C(O)C(O)C3O)CCC1CCC1C2C(=O)C[C@@]2(C)C1CC[C@]2(O)C(O)CO,0.0
COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,1.0
O=C1CCC2C3Cc4ccc(O)c5c4[C@@]2(CCN3)C1O5,0.0
CC(CO)CCNc1ncnc2nc[nH]c12,0.0
CC(O)c1ccc2c(c1)C=CC(C)(C)O2,0.0
CC(=O)NC1C(O[C@@](C)(COC2OC(C)C(O)C(O)C2O)C(O)C(O)CO)OC(CO)C(O)C1O,0.0
O=C([C@@H](O)CO)N1CC=C(c2c(F)cc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1,0.0
CC(=O)NC1C(OC2C(O)C(CO)OC(OC(C(O)CO)C(OC3OC(C)C(O)C(O)C3O)C(O)C=O)C2O)OC(CO)C(O)C1OC1OC(CO)C(O)C(O)C1O,0.0
CS[C@@H]1[C@@H](CO)O[C@H](O)[C@H](O)[C@H]1O,0.0
O=NN(CCCl)C(O)=NCCCl,1.0
