SMILES,1A2,2C9,2C19,2D6,3A4
C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O,,,,,1.0
O=C(O)C/C=C\C[C@@H]1[C@@H](NS(=O)(=O)c2ccccc2)[C@H]2CC[C@@H]1C2,,1.0,,,1.0
Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,,,,0.0,
O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1,0.0,,,,
CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21,,,,,0.0
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,,1.0,,,1.0
CCN(CC)CCOC(=O)c1ccc(N)cc1,,,,,0.0
C/C=C1\C2CCN3CC[C@]4(c5cccc(OC)c5N(C(C)=O)C4C2)C13,0.0,0.0,0.0,0.0,0.0
O=C1NS(=O)(=O)c2ccccc21,0.0,0.0,0.0,0.0,0.0
Cc1cc(=O)oc2ccccc12,,,,0.0,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,,0.0,,0.0,1.0
CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,,1.0,1.0,1.0,1.0
O=C1N=C(O)CC[C@@]1(c1ccccc1)C1CCN(Cc2ccccc2)CC1,,,0.0,,
CN1[C@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2,,,1.0,1.0,
C[C@H](CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21,1.0,1.0,1.0,1.0,1.0
Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,,,0.0,,
CC[C@H](C)[C@@H](NCc1c(COP(=O)(O)O)cnc(C)c1O)C(=O)O,0.0,,,,0.0
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,,,,,0.0
NC(=O)[C@@H](N)CCC(=O)O,,0.0,,,
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,,,,,1.0
Oc1ccc(OCc2ccccc2)cc1,0.0,,,,0.0
C=C(/C=C\C=O)CCCCCCCCCC,0.0,0.0,0.0,0.0,0.0
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,,1.0,,,1.0
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,1.0,1.0,,,1.0
COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,,,,1.0,
NCc1cc(O)no1,,,,,0.0
CC1=C(N2CC2)C(=O)C(CO)=C(N2CC2)C1=O,,,,,0.0
CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,1.0,,,1.0,1.0
CNc1ccc(Sc2nncn2C)cc1C(=O)Nc1nc(C)cs1,0.0,,,,
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,,,,,1.0
O=[P@]1(NCCCl)OCCCN1CCCl,,1.0,1.0,0.0,1.0
N#C[C@@H](O)c1ccc(O)cc1,,0.0,,,0.0
C[C@@]12OC(=O)[C@]1([C@@H](O)[C@@H]1C=CCCC1)NC(=O)[C@@H]2CCCl,,,,,0.0
CCCCc1nc(Cl)c(C=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,1.0,,,1.0
N[C@@H](Cn1oc(=O)[nH]c1=O)C(=O)O,,,,0.0,
CC(=O)OC1CC2[C@]3(C)CCC(OC(=O)CC(=O)O)C(C)(C)C3CC[C@]2(C)[C@@]2(C)CCC([C@]3(C)CCC(C(C)(C)O)O3)C12,0.0,0.0,0.0,0.0,0.0
CC1CCN(c2ccc(CO)cc2NC(=O)c2ccc(C#N)o2)CC1,,,,,0.0
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,,0.0,,0.0,1.0
CCc1nc(C)cs1,0.0,0.0,0.0,0.0,0.0
C/N=C(\NC)NCCCC(N)C(=O)O,0.0,0.0,0.0,0.0,0.0
Cc1cc(C)cc(OCC2CN=C(O)O2)c1,1.0,,,1.0,1.0
CN(C)Cc1c[nH]c2c(CCCO)cccc12,,,0.0,,0.0
CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,,,,,1.0
Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,,,,,1.0
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@@H]1c1cccc([N+](=O)[O-])c1,,,,,1.0
CCCCCCCCCCCCCCCC(=O)OC[C@H](O)[C@@H](O)/C(O)=C(/O)C(=O)O,,,,0.0,
CN(C)CCOc1ccc(/C(=C(\CCCl)c2ccccc2)c2ccccc2)cc1,,1.0,,0.0,1.0
O=C(OC1C[C@@H]2CC3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,,1.0,,1.0,1.0
O=C(OCc1ccccc1)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OCc3ccccc3)ccc12,,1.0,1.0,,1.0
COc1ccc(/C=C2\CCCN=C2c2cccnc2)c(OC)c1,1.0,,,,1.0
C1SSCSSS1,0.0,0.0,0.0,0.0,0.0
CC(C)(CO)C(O)C(=O)NCCC(=O)O,,,,,0.0
C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,,,,1.0,
COc1ccc2c3c([nH]c2c1)C(C)=NCC3,1.0,1.0,1.0,1.0,0.0
COC[C@H](O)Cn1c(=O)cnn(-c2ccc(Cl)c(C(=O)NCC3(O)CCCCCC3)c2)c1=O,,,,0.0,0.0
CCN1C(=O)CCC1=O,,,0.0,,0.0
CN,,0.0,,,
O=C(NO)[C@@H](Cc1ccc2ccccc2c1)NS(=O)(=O)c1ccc2ccccc2c1,,0.0,,,
N=c1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]2O)c(O)n1,,,,,0.0
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,,0.0,0.0,0.0,1.0
C=CCCCCP(=O)(O)OC[C@@H]1COC(C)(C)O1,0.0,,0.0,,
COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314,,,,1.0,
CC(C)(CO)[C@@H](O)C(=O)NCCCC(=O)O,,,,,0.0
C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,0.0,,,,
