,AUC,ACC,BACC,SP,Recall,F1_score,Precision,MCC
0,0.8700797872340426,0.8709677419354839,0.7843971631205674,0.9521276595744681,0.6166666666666667,0.6981132075471698,0.8043478260869565,0.6266935211002722
1,0.8205023483765571,0.7911111111111111,0.6781703083520523,0.9156626506024096,0.4406779661016949,0.5252525252525253,0.65,0.4099487034979358
2,0.883424408014572,0.8441558441558441,0.7556352459016393,0.907103825136612,0.6041666666666666,0.6170212765957447,0.6304347826086957,0.5194360788719862
3,0.8931262845398493,0.8373205741626795,0.7440625713633249,0.9536423841059603,0.5344827586206896,0.6458333333333334,0.8157894736842105,0.566687711460346
4,0.8236377423897736,0.7801724137931034,0.6689957751056224,0.8674033149171271,0.47058823529411764,0.48484848484848486,0.5,0.3455418772498062
5,0.8534739982949701,0.8170212765957446,0.7768542199488491,0.8478260869565217,0.7058823529411765,0.6260869565217392,0.5625,0.5127280777000177
6,0.8912037037037037,0.8596491228070176,0.7888888888888889,0.9111111111111111,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5777777777777777
7,0.8710666930536315,0.7955555555555556,0.7189788244607164,0.8895705521472392,0.5483870967741935,0.5964912280701754,0.6538461538461539,0.46419134566922315
8,0.8503059975520195,0.8326180257510729,0.7714198286413709,0.868421052631579,0.6744186046511628,0.5979381443298969,0.5370370370370371,0.4990673984157748
9,0.8704908990623276,0.7905982905982906,0.6650303364589079,0.8810810810810811,0.4489795918367347,0.4731182795698925,0.5,0.343696054204656
