SMILES,2C19
C=CCCCCP(=O)(O)OC[C@@H]1COC(C)(C)O1,0.0
CC1(C)C(O)CC[C@@]2(C)C1CC[C@]1(C)C2C(=O)C=C2C3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C,0.0
COc1cc(C)c2c(Oc3cccc(C(F)(F)F)c3)c(OC)cc(NC(C)CCCN)c2n1,0.0
CCCCCCCCC(=O)CCCCCCC(=O)O,0.0
CC(O)CCCCO,0.0
CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1.0
CC(C)(O)C1CCC(COC2OC(CO)C(O)C(O)C2O)CC1,0.0
O=P1(NCCCl)OCCCN1CCCl,1.0
CC(O)CC(=O)O,0.0
N=C(N)c1ccc2[nH]c(-c3n[nH]c(-c4ccccc4)c3O)nc2c1,0.0
CCCCCCCCCCCC/C=C/CCC(O)C(O)CCC(O)C1CCC(CCCCCC(O)CC2=CC(C)OC2=O)O1,0.0
C/C(C(=O)O)=C(\C)C(=O)O,0.0
CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,0.0
CC(C/C=C/C(C)(C)O)CCOC1OC(CO)C(O)C(O)C1O,0.0
CC/C=C\CC(=O)OCC,0.0
C=CCc1ccc(OC)c(OC)c1,1.0
C[C@]12CCC3C4=C(CCC3C1CCC2=O)C(=O)C(=O)C=C4,0.0
CC(=O)OC/C(C)=C\CC[C@]1(C)C2CC3C(C2)C31C,0.0
N[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0.0
CCCCC[C@H](C)NC=O,0.0
C[C@@H](NCCCC[C@H](N)C(=O)O)C(=O)O,0.0
NC(CN[N+](=O)[O-])C(=O)O,0.0
Nc1ccc(Sc2ccc(N3C(=O)c4ccc(N)cc4C3=O)cc2)cc1,0.0
O[C@@H](c1ccncc1)c1ccc(OCCN2CCCC2)cc1,0.0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1.0
CC(C)C1=CC(=O)[C@]2(C)C[C@@]3(O)O[C@@]4(C(=O)[C@@]13C)C(O)C(C)CC[C@]42O,0.0
